frame_id,period,track_id,team_id,team_name,jersey_number,x_ft,y_ft,video_shot,game_seconds
1,2,1,Dark,USA,5,146.19836709999998,44.31982626,1,1068
1,2,2,Dark,USA,24,160.8247708,51.08295668,1,1068
1,2,3,Dark,USA,28,165.85035530000002,71.01879917,1,1068
1,2,4,Light,Finland,6,171.0285278,49.72287512,1,1068
1,2,5,Light,Finland,77,168.04074219999998,60.48861056,1,1068
1,2,6,Light,Finland,88,171.1901344,71.56011813,1,1068
1,2,7,Light,Finland,33,165.41878549999998,44.47797208,1,1068
1,2,8,Light,Finland,36,182.2014226,44.5506467,1,1068
1,2,10,Dark,USA,11,166.7562743,62.88130783,1,1068
2,2,1,Dark,USA,5,145.751937,44.39586722,1,1068
2,2,2,Dark,USA,24,160.9770639,51.29012495,1,1068
2,2,3,Dark,USA,28,166.29414319999998,70.93616515,1,1068
2,2,4,Light,Finland,6,171.20620669999997,49.69081047,1,1068
2,2,5,Light,Finland,77,168.33282659999998,60.70437818,1,1068
2,2,6,Light,Finland,88,171.63609509999998,71.67967998,1,1068
2,2,7,Light,Finland,33,165.15312419999998,44.19977972,1,1068
2,2,8,Light,Finland,36,182.93404099999998,44.92363469,1,1068
2,2,10,Dark,USA,11,166.8831706,62.88600719,1,1068
3,2,1,Dark,USA,5,145.19061010000001,44.15036549,1,1068
3,2,2,Dark,USA,24,160.5706833,51.28290139,1,1068
3,2,3,Dark,USA,28,165.98287480000002,70.10758668,1,1068
3,2,4,Light,Finland,6,170.6568575,49.19980476,1,1068
3,2,5,Light,Finland,77,167.7602426,60.32136999,1,1068
3,2,6,Light,Finland,88,171.03894409999998,71.25163492,1,1068
3,2,7,Light,Finland,33,164.26117019999998,44.04871784,1,1068
3,2,8,Light,Finland,36,182.59508290000002,44.6783874,1,1068
3,2,10,Dark,USA,11,165.7624494,61.67588303,1,1068
4,2,1,Dark,USA,5,144.9283554,43.83147534,1,1068
4,2,2,Dark,USA,24,160.6719645,51.53290208,1,1068
4,2,3,Dark,USA,28,166.63457519999997,69.84277748,1,1068
4,2,4,Light,Finland,6,170.6229115,49.16378382,1,1068
4,2,5,Light,Finland,77,167.7017187,60.42423132,1,1068
4,2,6,Light,Finland,88,171.4038994,71.46297001,1,1068
4,2,7,Light,Finland,33,163.7468917,44.23180834,1,1068
4,2,8,Light,Finland,36,182.5761282,44.72253259,1,1068
4,2,10,Dark,USA,11,165.4805958,61.38396186,1,1068
5,2,1,Dark,USA,5,144.9235403,43.74549524,1,1068
5,2,2,Dark,USA,24,160.72471240000002,51.55505912,1,1068
5,2,3,Dark,USA,28,166.60879630000002,69.29711212,1,1068
5,2,4,Light,Finland,6,170.65451000000002,49.12748141,1,1068
5,2,5,Light,Finland,77,167.68982830000002,60.38044416,1,1068
5,2,6,Light,Finland,88,171.5318331,71.47515975,1,1068
5,2,7,Light,Finland,33,163.6385679,44.27838315,1,1068
